Date,Open,High,Low,Close,Adj Close,Volume
2022-04-05,115.61000061035156,116.62000274658203,112.12000274658203,112.56999969482422,110.12742614746094,1233300
2022-04-06,111.81999969482422,112.6500015258789,110.56999969482422,111.18000030517578,108.76758575439453,1151200
2022-04-07,110.69000244140625,111.6500015258789,109.87999725341797,110.80000305175781,108.39583587646484,993900
2022-04-08,110.97000122070312,111.72000122070312,109.98999786376953,110.4000015258789,108.00450897216797,1012600
2022-04-11,109.9000015258789,112.31999969482422,109.83999633789062,111.30999755859375,108.89476776123047,1238400
2022-04-12,111.95999908447266,112.62999725341797,110.55999755859375,111.01000213623047,108.60128021240234,1136700
2022-04-13,110.97000122070312,112.2300033569336,110.26000213623047,111.29000091552734,108.87519836425781,620200
2022-04-14,111.44999694824219,111.83000183105469,108.41999816894531,108.55999755859375,106.20443725585938,552900
2022-04-18,107.87999725341797,109.48999786376953,106.80999755859375,109.18000030517578,106.81098175048828,918000
2022-04-19,109.44999694824219,113.5199966430664,109.44999694824219,113.0999984741211,110.64592742919922,726800
2022-04-20,113.8499984741211,115.70999908447266,113.8499984741211,115.04000091552734,112.54383087158203,592400
2022-04-21,116.19000244140625,118.41000366210938,115.05999755859375,115.16999816894531,112.67101287841797,853300
2022-04-22,114.88999938964844,114.88999938964844,112.36000061035156,112.44000244140625,110.000244140625,746800
2022-04-25,111.80999755859375,112.37999725341797,108.61000061035156,112.18000030517578,109.74589538574219,707500
2022-04-26,111.62999725341797,112.63999938964844,109.02999877929688,109.36000061035156,106.9870834350586,855300
2022-04-27,111.87999725341797,111.94000244140625,99.11000061035156,100.0,97.83018493652344,2112300
2022-04-28,100.94999694824219,102.18000030517578,98.3499984741211,101.80999755859375,99.60089874267578,1214200
2022-04-29,100.87000274658203,102.33999633789062,98.0199966430664,98.30999755859375,96.17684173583984,744400
2022-05-02,98.66000366210938,99.62000274658203,96.1500015258789,97.95999908447266,95.8344497680664,814700
2022-05-03,98.06999969482422,100.26000213623047,97.69999694824219,99.30000305175781,97.1453628540039,754500
2022-05-04,100.06999969482422,102.02999877929688,97.94000244140625,101.83999633789062,99.63024139404297,646800
